Product_Name,Price,Rating,Brand,Category
A Light in the Attic,51.77,Three,Zara,Clothing
Tipping the Velvet,53.74,One,Nike,Clothing
Soumission,50.1,One,Nike,Clothing
Sharp Objects,47.82,Four,Zara,Clothing
Sapiens: A Brief History of Humankind,54.23,Five,Nike,Clothing
The Requiem Red,22.65,One,Zara,Clothing
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,Zara,Clothing
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,Zara,Clothing
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,Nike,Clothing
The Black Maria,52.15,One,Nike,Clothing
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,Nike,Clothing
Shakespeare's Sonnets,20.66,Four,Urbanic,Clothing
Set Me Free,17.46,Five,Nike,Clothing
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,Forever21,Clothing
Rip it Up and Start Again,35.02,Five,Zara,Clothing
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,H&M,Clothing
Olio,23.88,One,Urbanic,Clothing
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,Zara,Clothing
Libertarianism for Beginners,51.33,Two,Zara,Clothing
It's Only the Himalayas,45.17,Two,Nike,Clothing
In Her Wake,12.84,One,Forever21,Clothing
How Music Works,37.32,Two,Zara,Clothing
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,Urbanic,Clothing
Chase Me (Paris Nights #2),25.27,Five,Forever21,Clothing
Black Dust,34.53,Five,Nike,Clothing
Birdsong: A Story in Pictures,54.64,Three,Urbanic,Clothing
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,H&M,Clothing
Aladdin and His Wonderful Lamp,53.13,Three,Forever21,Clothing
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Five,Urbanic,Clothing
Wall and Piece,44.18,Four,Urbanic,Clothing
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,Urbanic,Clothing
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,Urbanic,Clothing
The Elephant Tree,23.82,Five,Forever21,Clothing
The Bear and the Piano,36.89,One,Urbanic,Clothing
Sophie's World,15.94,Five,Urbanic,Clothing
Penny Maybe,33.29,Three,Zara,Clothing
Maude (1883-1993):She Grew Up with the country,18.02,Two,H&M,Clothing
"In a Dark, Dark Wood",19.63,One,Nike,Clothing
Behind Closed Doors,52.22,Four,Zara,Clothing
You can't bury them all: Poems,33.63,Two,Nike,Clothing
Slow States of Collapse: Poems,57.31,Three,H&M,Clothing
Reasons to Stay Alive,26.41,Two,Urbanic,Clothing
Private Paris (Private #10),47.61,Five,Urbanic,Clothing
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,Nike,Clothing
Without Borders (Wanderlove #1),45.07,Two,Nike,Clothing
When We Collided,31.77,One,H&M,Clothing
"We Love You, Charlie Freeman",50.27,Five,Zara,Clothing
Untitled Collection: Sabbath Poems 2014,14.27,Four,Urbanic,Clothing
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,Nike,Clothing
Unicorn Tracks,18.78,Three,H&M,Clothing
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,Zara,Clothing
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,Nike,Clothing
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,Zara,Clothing
This One Summer,19.49,Four,Forever21,Clothing
Thirst,17.27,Five,Forever21,Clothing
The Torch Is Passed: A Harding Family Story,19.09,One,Forever21,Clothing
The Secret of Dreadwillow Carse,56.13,One,H&M,Clothing
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,Nike,Clothing
The Past Never Ends,56.5,Four,Urbanic,Clothing
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,Zara,Clothing
The Nameless City (The Nameless City #1),38.16,Four,Zara,Clothing
The Murder That Never Was (Forensic Instincts #5),54.11,Three,Urbanic,Clothing
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,Urbanic,Clothing
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,Urbanic,Clothing
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,Nike,Clothing
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,Zara,Clothing
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,Forever21,Clothing
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,Zara,Clothing
The Death of Humanity: and the Case for Life,58.11,Four,H&M,Clothing
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,Zara,Clothing
The Art Forger,40.76,Three,Nike,Clothing
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,H&M,Clothing
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,Forever21,Clothing
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,Urbanic,Clothing
